populations -b 1 -P ../stacks -M PopMap.txt -t 36 -r 0.75 -p 4 -m 10 --genepop --fasta
populations version 1.44 executed 2017-03-30 11:59:37

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
17	4
18	8
19	8
20	1
21	4
22	4
23	6
24	7
25	4
26	4
27	2
28	2
29	1
30	1
31	1
32	1
33	3
34	3
35	2
36	3
37	3
38	3
39	1
40	1
42	3
43	5
44	6
46	5
47	1
48	1
49	1
52	1
53	1
54	1
56	1
57	1
59	1
60	1
63	1
68	1
69	1
70	1
71	1
73	1
74	1
106	1
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	718
1	1716
2	2551
3	2680
4	1896
5	1206
6	797
7	568
8	332
9	251
10	186
11	139
12	182
13	173
14	156
15	132
16	93
17	62
18	34
19	19
20	21
21	11
22	10
23	13
24	6
25	4
26	6
27	6
28	5
29	15
30	25
31	73
32	105
33	166
34	283
35	366
36	437
37	382
38	279
39	133
40	100
41	76
42	70
43	60
44	94
45	100
46	129
47	133
48	125
49	108
50	67
51	39
52	23
53	11
54	18
55	17
56	17
57	33
58	39
59	42
60	66
61	62
62	81
63	111
64	107
65	168
66	175
67	205
68	197
69	211
70	201
71	180
72	153
73	144
74	141
75	134
76	132
77	130
78	150
79	144
80	134
81	111
82	78
83	69
84	43
85	38
86	22
87	19
88	22
89	21
90	18
91	27
92	27
93	45
94	43
95	50
96	40
97	56
98	86
99	61
100	80
101	82
102	90
103	75
104	127
105	104
106	90
107	106
108	93
109	111
110	73
111	84
112	83
113	70
114	59
115	45
116	37
117	21
118	16
119	11
120	11
121	14
122	5
123	9
124	14
125	9
126	13
127	11
128	15
129	9
130	13
131	18
132	12
133	17
134	18
135	8
136	8
137	2
138	3
139	7
140	9
141	5
143	2
145	1
147	2
148	1
151	1
152	1
153	1
165	1
171	1
177	1
183	1
184	1
202	1
220	1
224	1
Population Kodiak03 contained 72 incompatible loci -- more than two alleles present.
Population Adak06 contained 47 incompatible loci -- more than two alleles present.
Population WashCoast05 contained 48 incompatible loci -- more than two alleles present.
Population HecStrait04 contained 67 incompatible loci -- more than two alleles present.
Population PribIslands04 contained 0 incompatible loci -- more than two alleles present.
Population PugetSound12 contained 53 incompatible loci -- more than two alleles present.
Population GeorgiaStrait13 contained 26 incompatible loci -- more than two alleles present.
Population PWSound12 contained 58 incompatible loci -- more than two alleles present.
Population UnimakPass03 contained 74 incompatible loci -- more than two alleles present.
Population Kodiak03 contained 0 incompatible loci -- more than two alleles present.
Population Adak06 contained 0 incompatible loci -- more than two alleles present.
Population WashCoast05 contained 0 incompatible loci -- more than two alleles present.
Population HecStrait04 contained 0 incompatible loci -- more than two alleles present.
Population PribIslands04 contained 0 incompatible loci -- more than two alleles present.
Population PugetSound12 contained 0 incompatible loci -- more than two alleles present.
Population GeorgiaStrait13 contained 0 incompatible loci -- more than two alleles present.
Population PWSound12 contained 0 incompatible loci -- more than two alleles present.
Population UnimakPass03 contained 0 incompatible loci -- more than two alleles present.
