"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X10478"	0.4714	0.4643	0.4032	0.4183	0.419	0.4636	0.4837	0.4829
"X10486"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"X10488"	0.1653	0	0.1305	0.027	0	0	0.1196	0.0985
"X10496"	0	0.037	0.0998	0.0563	0	0	0.1245	0.0263
"X10498"	0.4623	0.3796	0.4391	0.4219	0.4904	0.5091	0.4909	0.3138
"X10499"	0	0	0	0	0.0482	0.1591	0	0
"X10501"	0.4878	0.5	0.5028	0.4788	0.4604	0.5	0.4366	0.4704
"X10505"	0.1345	0.1396	0.0615	0.0526	0.1071	0.1889	0.2228	0.0788
"X10506"	0.1372	0.0323	0.0312	0.0731	0.0482	0	0.1196	0.1545
"X10511"	0.4885	0.472	0.4858	0.4831	0.4703	0.5076	0.5091	0.4936
"X10521"	0.4538	0.3448	0.428	0.4047	0.3981	0.5076	0.4221	0.3848
"X10522"	0.1372	0.1505	0.0881	0.1215	0.0939	0.2273	0.1196	0.1132
"X10525"	0.4577	0.4494	0.495	0.484	0.4543	0.5	0.5036	0.4483
"X1053"	0.4437	0.447	0.4889	0.3231	0.4393	0.3889	0.4585	0.489
"X10530"	0	0.0357	0	0.025	0	0	0.0417	0.1159
"X10533"	0.4784	0.4805	0.3989	0.3994	0.4129	0.2455	0.4022	0.4459
"X10535"	0.0244	0.0634	0.142	0.1186	0.1404	0.0833	0	0.0238
"X10536"	0.4714	0.5	0.4022	0.4778	0.4317	0.5	0.5	0.5
"X10543"	0.2348	0.2516	0.3201	0.3788	0.4346	0.3939	0.2536	0.2642
"X10544"	0.478	0.4839	0.3011	0.45	0.4082	0.1591	0.4982	0.4858
"X10545"	0.5013	0.5086	0.4738	0.484	0.4663	0.4924	0.504	0.4994
"X1055"	0.4933	0.4624	0.483	0.4853	0.4793	0.2879	0.5054	0.4861
"X10553"	0.0244	0	0.0303	0.1186	0	0	0	0.0238
"X10560"	0.0713	0	0	0	0.0985	0	0	0
"X10562"	0	0.1226	0	0.025	0	0	0	0
"X10567"	0.4422	0.4645	0.3966	0.4026	0.3974	0.4333	0.4493	0.4512
"X10568"	0.0985	0.1944	0.1505	0.1734	0.1615	0	0.0417	0.1653
"X1057"	0.4622	0.4742	0.4138	0.4032	0.3463	0.4848	0.4638	0.4216
"X10570"	0.1159	0.2742	0	0.0506	0	0	0.0435	0.1132
"X10573"	0.4933	0.4778	0.4403	0.498	0.4096	0.3864	0.4289	0.4861
"X10574"	0.1631	0.0655	0.1462	0.027	0.0832	0.0909	0.085	0.0244
"X10579"	0.0294	0.0754	0.1264	0	0.027	0.0909	0.1245	0.0985
"X10582"	0.4827	0.4806	0.4678	0.5006	0.5058	0.4091	0.4674	0.4408
"X10586"	0.3786	0.4074	0.3879	0.4413	0.3724	0.3636	0.337	0.3167
"X10588"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"X10590"	0.5	0.4989	0.5	0.4994	0.5	0.4924	0.5	0.4983
"X10596"	0.0985	0.0655	0.0634	0	0	0	0.1245	0.0731
"X10597"	0.1509	0.1068	0	0	0.101	0.0909	0.1621	0.0548
"X10598"	0.0519	0.1349	0.0323	0.1036	0.0494	0	0.085	0.0506
"X106"	0.4683	0.429	0.4886	0.4795	0.4537	0.4848	0.4964	0.457
"X10601"	0.4974	0.4379	0.4667	0.5	0.5057	0.4091	0.4873	0.5029
"X10603"	0.025	0	0.0323	0.0832	0.1036	0	0.1621	0.0244
"X10604"	0	0	0	0	0	0.0833	0.1558	0.0494
"X10606"	0	0	0	0.0494	0.025	0	0.1196	0.0238
"X1061"	0	0	0	0	0	0	0.2228	0.025
"X10611"	0.286	0.3366	0.3011	0.3231	0.3848	0.3409	0.3098	0.23
"X10614"	0.2917	0.2957	0.0881	0.275	0	0	0.2536	0.3537
"X10616"	0.3441	0.1884	0.2812	0.2976	0.226	0.3485	0.3804	0.23
"X10617"	0.4546	0.4548	0.3366	0.4535	0.3596	0.3091	0.4328	0.4616
"X10620"	0.2397	0.3871	0.2386	0.3231	0.3598	0.2879	0.2536	0.1748
"X10621"	0.2	0	0	0.0749	0	0	0	0.0985
"X10623"	0.1063	0.0935	0	0	0.1548	0.0833	0.0435	0.0263
"X10624"	0.1509	0.0726	0.0345	0.1693	0.0519	0	0.0417	0.1345
"X10631"	0.491	0.4897	0.4669	0.5051	0.4896	0.5227	0.5018	0.5041
"X10632"	0.428	0.3253	0.3873	0.4217	0.4457	0.3939	0.337	0.3237
"X10633"	0.4848	0.4806	0.4738	0.4423	0.4738	0.4848	0.4964	0.4762
"X10636"	0.5057	0.4667	0.4872	0.501	0.5	0.5091	0.4728	0.505
"X10637"	0.489	0.4527	0.4054	0.4815	0.4689	0.5	0.4289	0.4274
"X10644"	0.2112	0.2032	0.0655	0.1186	0.1063	0	0.3605	0.178
"X10645"	0.0962	0	0	0	0.17	0.1727	0.0435	0
"X10646"	0.3784	0.3707	0.4335	0.419	0.3574	0.0833	0.3458	0.3492
"X10648"	0	0	0.1068	0	0.0749	0.0909	0	0
"X10650"	0.4177	0.4801	0.3522	0.2866	0.3841	0.2879	0.3913	0.4244
"X10658"	0.1155	0.1396	0.0966	0.1952	0.1215	0.1	0.1558	0.1472
"X10659"	0.3591	0.3871	0.2159	0.4047	0.3077	0.3409	0.3351	0.3532
"X10665"	0.1092	0.0998	0.0726	0.205	0	0	0.0417	0.0579
"X10669"	0.404	0.4052	0.3478	0.2748	0.226	0.2273	0.3605	0.3963
"X1067"	0	0.0634	0	0	0	0	0.1558	0
"X10671"	0.1036	0.0357	0.0615	0.0985	0.0263	0	0.0417	0
"X10672"	0	0	0	0	0.1579	0.0833	0	0
"X10673"	0.2695	0.1828	0.2386	0.275	0.0962	0.2955	0.3351	0.0918
"X10675"	0.4782	0.3793	0.4669	0.4436	0.4079	0.2273	0.462	0.4457
"X10677"	0.0962	0.0345	0.1264	0.2212	0.025	0.0909	0.1902	0.0962
"X10679"	0.4994	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"X10688"	0.4487	0.4537	0.4172	0.3979	0.3237	0.4455	0.4529	0.4966
"X10691"	0.489	0.5012	0.4667	0.5006	0.4891	0.4848	0.4946	0.5045
"X10692"	0	0	0.0333	0	0.1472	0	0	0
"X10695"	0.3514	0.3161	0.3538	0.3448	0.4114	0.4242	0.3458	0.2982
"X10696"	0.4327	0.2516	0.2883	0.3441	0.4677	0.4621	0.3351	0.3897
"X10697"	0.0832	0.0783	0.1601	0.027	0.1345	0.2273	0.1976	0.0832
"X10698"	0.3037	0.2487	0.3366	0.2269	0.1472	0.2455	0.4185	0.2873
"X10699"	0.4854	0.4925	0.4953	0.4974	0.4811	0.4818	0.4746	0.461
"X107"	0.1372	0.0935	0.0303	0.0256	0	0	0.1196	0.0697
"X1070"	0.1615	0.04	0.0615	0.1036	0.0256	0.0833	0.1196	0.0713
"X10700"	0.0962	0.1785	0.0881	0	0.1976	0.2273	0.1558	0.047
"X10703"	0	0	0.0303	0	0.025	0.0833	0	0.1132
"X10705"	0.4957	0.5022	0.4886	0.5058	0.5006	0.4545	0.5072	0.4762
"X10708"	0.495	0.495	0.4974	0.4921	0.5024	0.5	0.4982	0.4851
"X10709"	0	0.1264	0	0.0256	0	0	0	0.047
"X10711"	0.2524	0.229	0.2386	0.2019	0.2348	0.0833	0.2536	0.2805
"X10712"	0.3323	0.3161	0.2822	0.3378	0.1579	0.0833	0.2228	0.248
"X10714"	0.0506	0	0	0.0263	0	0	0	0.1186
"X10715"	0.4821	0.4935	0.1976	0.419	0.4268	0.5	0.4978	0.4983
"X10716"	0.3448	0.3871	0.2169	0.3083	0.1372	0.2273	0.1976	0.2577
"X10718"	0.2214	0.0754	0.2487	0.1155	0.2511	0.3727	0.0435	0.1742
"X1072"	0.0494	0.1552	0.0907	0.1245	0.0749	0.0909	0.0815	0.1132
"X10722"	0.0482	0.0634	0.0303	0.0494	0.1159	0	0	0.047
"X10723"	0.0856	0	0.1552	0.254	0.1922	0.0909	0.0417	0.0788
"X10725"	0.1404	0.228	0.1976	0.2218	0.1215	0.0833	0.2554	0.1742
"X10727"	0.4324	0.4506	0.4839	0.4872	0.4738	0.4848	0.4529	0.4
"X10731"	0.084	0	0.0907	0.1245	0	0	0.0455	0.027
"X10732"	0.2019	0.3161	0.2159	0.2577	0.2218	0.2879	0.2628	0.1132
"X10733"	0.5013	0.4957	0.496	0.4745	0.5021	0.4545	0.4909	0.5012
"X10737"	0.0506	0.0323	0.0907	0.101	0.1472	0	0	0
"X10741"	0.2756	0.4731	0.2228	0.4399	0.428	0.2273	0.3098	0.2967
"X10742"	0.2688	0.2516	0.2159	0.2312	0.1579	0.0833	0.1196	0.1748
"X10743"	0.0939	0.1505	0.2159	0.2212	0.3024	0.4242	0	0.212
"X10749"	0.2976	0.3892	0.2159	0.2019	0.2479	0.3091	0.3098	0.2348
"X1075"	0.3841	0.4022	0.4896	0.4878	0.3976	0.1591	0.4928	0.367
"X10750"	0	0.101	0.0345	0.1215	0	0	0	0
"X10752"	0.2397	0.372	0.3034	0.33	0.3514	0.3939	0.3202	0.3256
"X10754"	0.4927	0.4796	0.4972	0.5051	0.5043	0.5076	0.4855	0.5
"X10755"	0.1159	0.1552	0.0615	0	0.0962	0	0.1196	0.1545
"X10757"	0.3514	0.2816	0.2614	0.3037	0.3024	0.3409	0.3587	0.2397
"X10758"	0.4977	0.4846	0.4557	0.5	0.4851	0.5	0.5	0.4929
"X10759"	0.372	0.2742	0.4312	0.366	0.4183	0.2955	0.4656	0.3897
"X10760"	0	0	0	0.025	0	0.1591	0	0
"X10761"	0	0	0.1724	0.1693	0.1579	0.4545	0.1902	0.047
"X10762"	0.4487	0.4253	0.3551	0.2632	0.4177	0.4318	0.3822	0.3118
"X10764"	0.081	0.0677	0.0333	0.0256	0.0533	0	0.1245	0.027
"X10770"	0.5037	0.4796	0.4577	0.4724	0.5006	0.4015	0.4982	0.4901
"X10775"	0.0856	0.0333	0.0677	0.1479	0.1159	0.2879	0.2536	0.1862
"X10776"	0.2112	0.1884	0.142	0.2504	0.2982	0.2879	0.2826	0.2019
"X10777"	0.5	0.5	0.5	0.4994	0.5	0.5	0.5	0.5
"X10782"	0.081	0.0385	0.0357	0.1063	0.0263	0	0.1196	0.131
"X10783"	0.5037	0.5022	0.5047	0.4993	0.5037	0.5076	0.5036	0.5017
"X10784"	0.1821	0.0935	0.2218	0.2449	0.1976	0.2879	0.1558	0.2474
"X10786"	0.4353	0.2821	0.2957	0.4317	0.3718	0.3091	0.462	0.3649
"X10789"	0.027	0.0998	0	0	0	0	0	0.0506
"X10791"	0.5013	0.4241	0.372	0.4744	0.3591	0.4545	0.4964	0.4897
"X10794"	0.3848	0.4506	0.4015	0.3716	0.4154	0.4848	0.4837	0.4327
"X10799"	0.4921	0.5	0.5009	0.5032	0.4976	0.4924	0.4704	0.4861
"X1080"	0.4659	0.4966	0.3448	0.3448	0.3841	0.2273	0.4638	0.4555
"X10804"	0.3957	0.3632	0.2604	0.0962	0.1186	0	0.1902	0.286
"X10809"	0.1186	0.2032	0.3011	0.3201	0.1976	0.1591	0.3351	0.1276
"X10811"	0.0256	0	0.1724	0.1215	0.166	0	0	0.0713
"X10815"	0.372	0.3538	0.3629	0.359	0.3457	0.2273	0.3312	0.3397
"X10821"	0.4737	0.5012	0.5054	0.5038	0.5064	0.5303	0.5054	0.503
"X10822"	0	0.1505	0	0	0	0	0.0417	0
"X10829"	0.4671	0.4613	0.4886	0.4968	0.4744	0.5152	0.5054	0.475
"X1083"	0.0482	0.1226	0.0303	0.0731	0.0244	0	0.0815	0.1742
"X10832"	0.1276	0.0655	0	0.0788	0.025	0	0	0.0494
"X10836"	0.1276	0	0	0	0.2065	0	0.0417	0
"X10842"	0.0244	0	0.1264	0.0506	0.1276	0.1818	0	0.0713
"X10843"	0	0	0.0303	0	0	0	0.1245	0
"X10844"	0.0548	0.2816	0.1774	0.0768	0.1862	0.0909	0.2228	0.1159
"X10845"	0.436	0.4931	0.3942	0.4082	0.4128	0.4924	0.5	0.4904
"X10846"	0.2689	0.0726	0.2681	0.35	0.1952	0.4	0.1621	0.101
"X10848"	0.2748	0.1944	0.1552	0.3276	0.2312	0.4455	0.1245	0.3201
"X10857"	0.3323	0.228	0.2883	0.226	0.2866	0.2273	0.2228	0.4007
"X10863"	0.1548	0.2092	0.0701	0.101	0.0749	0.1591	0.2228	0.1862
"X10865"	0.461	0.4527	0.4015	0.4436	0.2218	0.2879	0.4638	0.4623
"X10866"	0.0985	0.2222	0.1396	0	0	0.1727	0	0.0985
"X10869"	0.1245	0.2586	0.3201	0.2065	0.3317	0.0833	0.3478	0.2165
"X1087"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"X10871"	0.5	0.5	0.5	0.5	0.4977	0.4242	0.5	0.5
"X10873"	0.453	0.4172	0.4006	0.366	0.3963	0.3409	0.3587	0.4129
"X10876"	0.0749	0.2155	0.0323	0.3431	0.0985	0.1727	0.1976	0.0519
"X10878"	0.281	0.1944	0.0935	0.1778	0.1221	0.3636	0.3587	0.2456
"X1088"	0.4474	0.4516	0.5062	0.3797	0.4559	0.5091	0.337	0.4211
"X10883"	0.1159	0.0935	0.1155	0.025	0.0713	0	0.0417	0.0244
"X10884"	0.1063	0.0701	0.0323	0.0286	0	0.0909	0.1214	0.027
"X10886"	0.2992	0.2976	0.3413	0.2688	0.2976	0.3444	0.3351	0.2992
"X10888"	0	0.1944	0.0754	0.0303	0.1345	0	0.0417	0.027
"X10890"	0.4939	0.4892	0.4735	0.4769	0.478	0.4773	0.4728	0.4739
"X10891"	0	0.1226	0.0312	0.1444	0	0	0	0
"X10898"	0.4771	0.4987	0.5011	0.4917	0.5006	0.4455	0.4511	0.4717
"X10899"	0.2524	0.2957	0.3731	0.2917	0.4372	0.5	0.3351	0.2811
"X1090"	0.4519	0.469	0.5009	0.5027	0.5012	0.4727	0.5036	0.4776
"X10901"	0.0244	0.0634	0	0	0.0244	0	0.1196	0.1341
