"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X10092"	-0.0263	0	NA	NA	NA	NA	-0.0455	0
"X10094"	-0.039	NA	NA	NA	NA	NA	-0.0455	-0.0123
"X10097"	-0.0704	0.3588	0	0.3684	0	NA	0.3437	-0.0278
"X10099"	-0.1212	-0.08	-0.0492	-0.0857	-0.039	0	-0.2105	-0.04
"X10100"	NA	-0.037	-0.0667	-0.0278	0	-0.0476	0	0
"X10103"	0	NA	0	NA	-0.0986	NA	NA	NA
"X10104"	-0.0541	-0.0833	NA	NA	NA	0	-0.1	-0.0263
"X10106"	0	-0.0526	-0.0159	NA	0	NA	NA	0
"X1011"	-0.0127	-0.0526	-0.0159	-0.027	NA	0	-0.0698	-0.0513
"X10113"	-0.0986	-0.1538	-0.1228	-0.2381	-0.1268	-0.0476	-0.122	-0.1549
"X10115"	-0.1471	-0.16	-0.0164	0.1735	-0.0137	NA	0	-0.039
"X10121"	-0.1562	-0.1628	-0.1667	-0.0423	-0.1176	0	-0.0476	-0.0833
"X10127"	NA	-0.0169	NA	0	-0.0256	-0.0476	0	NA
"X10129"	-0.0256	-0.0175	-0.069	-0.0411	-0.0127	NA	0	-0.038
"X1013"	-0.0256	NA	-0.0164	0	-0.0685	0	NA	-0.0123
"X10130"	-0.0256	-0.1111	0	0	NA	NA	-0.15	-0.0123
"X10133"	-0.0667	-0.1765	-0.0667	-0.0278	-0.1642	-0.0476	-0.0222	-0.0513
"X10134"	-0.3103	-0.45	0.0217	-0.05	-0.3091	-0.082	-0.2105	0.0019
"X10136"	0	NA	NA	0	NA	NA	-0.0455	NA
"X10139"	-0.2381	-0.45	-0.0508	-0.2787	0	NA	0.4699	-0.2044
"X10140"	-0.0606	-0.0741	-0.1154	-0.1212	-0.1864	-0.3846	-0.25	-0.1034
"X10141"	-0.2063	-0.1111	-0.1636	-0.1515	-0.0665	0	-0.0698	0.0361
"X10146"	-0.0769	-0.0357	NA	NA	NA	NA	NA	-0.0278
"X10153"	0.2308	-0.0169	-0.0667	-0.0685	0.0068	NA	-0.1795	-0.0689
"X10154"	NA	NA	0	0	0	-0.0526	NA	0
"X10155"	0	0	-0.0508	0	0	NA	-0.0222	-0.013
"X10156"	-0.6058	-0.4803	-0.6757	-0.8476	-0.2951	-0.4286	-0.5277	-0.5254
"X10160"	-0.1441	-0.7059	-0.24	-0.2452	-0.3187	-0.4776	-0.4724	-0.3714
"X10163"	-0.1429	-0.2174	-0.0182	NA	-0.0286	0	NA	0
"X10165"	-0.1642	-0.0741	0.4757	-0.2581	-0.1642	-0.2941	-0.3219	-0.1692
"X10168"	NA	-0.0385	0	0	NA	NA	NA	NA
"X10172"	-0.0145	NA	-0.0323	-0.0137	NA	NA	-0.0455	-0.0127
"X10175"	-0.242	-0.1272	-0.2075	-0.0929	-0.25	-0.1579	-0.3143	-0.1696
"X10185"	-0.013	-0.0345	NA	0	0	NA	-0.0698	-0.025
"X10193"	-0.1148	-0.098	-0.0333	-0.193	-0.0423	-0.0526	-0.1	-0.0423
"X10196"	-0.0256	0	NA	-0.0137	-0.0133	-0.0476	NA	-0.0256
"X102"	0.2897	-0.0545	-0.0333	-0.0263	-0.0556	0	-0.0698	-0.0263
"X1020"	0.0068	-0.0345	-0.0726	-0.3448	0.0805	0.1538	-0.15	-0.1081
"X10202"	NA	NA	0	NA	0.2885	0	NA	NA
"X10203"	0	NA	NA	-0.027	-0.0986	-0.0526	-0.0952	0
"X10205"	-0.1077	-0.037	-0.0508	-0.0462	0	NA	-0.0455	-0.027
"X10206"	0.0101	-0.1317	-0.1222	0.027	-0.1967	-0.2941	-0.2932	-0.2097
"X10209"	-0.0833	-0.1429	-0.1765	-0.0435	-0.0411	0	0.2581	-0.039
"X10211"	-0.1617	-0.0204	-0.2261	-0.219	-0.1784	-0.2222	-0.3477	-0.1082
"X10212"	-0.013	-0.0175	-0.0323	-0.1304	NA	NA	NA	-0.0513
"X10214"	-0.0541	NA	-0.1373	0	-0.013	NA	-0.0222	-0.0123
"X10215"	-0.3115	-0.0909	-0.1896	-0.5434	-0.4181	-0.082	-0.1667	-0.1081
"X1022"	-0.0141	NA	0	0	-0.0588	0	NA	NA
"X10220"	-0.6176	-0.5299	-0.3023	-0.4862	-0.2951	0.2029	-0.1541	-0.3506
"X10222"	-0.0423	-0.0526	-0.0847	-0.0541	NA	0	NA	0
"X10224"	-0.125	-0.0196	-0.037	-0.0423	-0.0746	NA	0	-0.0606
"X10231"	-0.1803	-0.1667	-0.2083	-0.2069	-0.1343	0	-0.1	-0.1143
"X10232"	0	0	NA	0	NA	NA	-0.122	-0.0685
"X10233"	-0.55	-0.3636	-0.5436	-0.4772	-0.2389	-0.1324	-0.5333	-0.3091
"X10235"	0	NA	0	-0.0411	0	NA	NA	-0.0123
"X10238"	NA	NA	-0.0189	-0.0154	NA	NA	-0.05	0
"X10239"	-0.7143	-0.7931	-0.4857	-0.7619	-0.6364	-0.2941	-0.6296	-0.8378
"X10242"	-0.1594	-0.1321	-0.0667	-0.0685	-0.0811	0	-0.1795	-0.1471
"X10244"	-0.1878	0.0166	-0.2111	-0.3433	-0.2563	0.1538	-0.3477	-0.1878
"X10251"	-0.3047	-0.5657	-0.1553	-0.2597	-0.1791	-0.1579	-0.4946	0.0892
"X10252"	-0.9487	-0.9355	-1	-1	-0.95	-1	-1	-0.9524
"X10258"	NA	0	-0.16	-0.0435	-0.0882	NA	-0.0233	-0.0571
"X1026"	NA	NA	NA	NA	NA	NA	-0.0476	NA
"X10261"	-0.2881	-0.2083	-0.1481	-0.3333	-0.2632	-0.1765	-0.1	-0.1014
"X10264"	0.4825	-0.037	0.1472	0.1146	-0.1803	-0.0526	-0.2	-0.1186
"X10266"	0.0209	-0.125	-0.1304	-0.2	-0.1385	-0.0526	-0.15	-0.1045
"X10268"	-0.0704	-0.08	-0.2	-0.0141	-0.1818	NA	0	-0.0137
"X10286"	-0.0323	-0.047	-0.2583	-0.0163	-0.2727	-0.2857	-0.09	-0.2
"X10289"	-0.0959	-0.1837	-0.1228	-0.013	-0.0133	NA	-0.0455	-0.1233
"X10295"	-0.4529	-0.161	-0.4262	-0.0682	-0.0511	0.3103	-0.0794	-0.2637
"X10301"	-1	-1	-1	-1	-1	-1	-1	-1
"X10302"	0	-0.0169	0	-0.0685	-0.039	NA	-0.0698	0
"X10303"	-0.0882	0.1381	0.2132	0.2826	-0.0606	-0.0588	0.3465	-0.1045
"X10307"	-0.2308	-0.3139	-0.1481	-0.0851	-0.0851	0.2903	-0.5949	0.2262
"X1031"	-0.0256	-0.0175	-0.0847	-0.04	-0.0526	NA	NA	NA
"X10310"	-0.0541	NA	-0.0333	-0.0141	NA	NA	NA	-0.0127
"X10312"	-0.3017	-0.3872	-0.294	-0.1423	-0.3684	-0.1579	-0.5081	-0.2054
"X10317"	-0.3465	-0.6702	-0.5897	-0.48	-0.4631	0.0351	-0.5949	-0.335
"X10322"	-0.0725	-0.4216	-0.1538	-0.2571	-0.3187	0.0351	-0.4839	-0.0541
"X10323"	-0.5533	-0.4194	-0.5823	-0.5319	-0.2901	-0.5714	-0.3237	-0.3121
"X10326"	-0.0145	NA	NA	-0.0411	-0.039	NA	NA	NA
"X1033"	-0.0423	-0.0714	0	-0.0556	0	NA	-0.122	-0.1304
"X10330"	0.1769	-0.1321	0.2132	-0.1014	-0.0857	-0.0526	-0.1795	-0.0749
"X10333"	-0.2576	-0.4775	-0.1364	-0.4943	-0.5177	-0.2031	-0.2321	-0.3714
"X10338"	-0.4605	-0.4595	-0.1126	-0.2	-0.2542	-0.0526	-0.1795	-0.0379
"X10339"	-0.0256	NA	0	-0.013	NA	NA	-0.0952	-0.0513
"X1034"	-0.0526	0.1018	-0.0877	-0.0704	-0.013	-0.1	-0.0222	-0.0933
"X10343"	-0.039	-0.0169	-0.0877	-0.1045	-0.039	0	-0.0233	-0.0833
"X10346"	-0.0986	0	NA	NA	-0.0137	-0.1	-0.0455	0
"X10348"	-0.2759	-0.1818	0.1549	-0.2857	-0.0812	-0.1111	-0.2778	-0.2542
"X10349"	-0.0127	NA	-0.0492	-0.0857	-0.0256	0	NA	NA
"X10355"	NA	NA	NA	NA	0	NA	-0.0698	NA
"X10356"	-0.2903	-0.2151	-0.0726	-0.3448	-0.2903	-0.4667	0.0129	0.1277
"X10357"	-0.039	-0.0714	-0.0492	-0.0986	-0.0811	NA	-0.2105	-0.0513
"X10359"	-0.013	-0.0741	-0.0508	0	-0.013	NA	0	-0.0411
"X10361"	-0.3965	-0.6744	-0.4769	-0.4182	-0.1741	-0.1579	-0.4839	-0.2441
"X10365"	-0.0811	-0.16	-0.0323	-0.0263	NA	0	-0.0698	-0.1304
"X10367"	-0.0303	-0.0545	-0.0164	0	0	NA	NA	-0.0133
"X10369"	NA	0	-0.0333	-0.0588	-0.0137	NA	NA	NA
"X10370"	-0.0411	-0.0357	0	0	0.6604	0	-0.0233	-0.0127
"X10371"	-0.04	NA	-0.0159	-0.0685	-0.0256	-0.0476	-0.0698	-0.0123
"X10376"	-0.0127	0	-0.1228	-0.04	0	-0.0476	-0.0698	0
"X10378"	-0.0606	0	NA	0	NA	NA	-0.0952	-0.0133
"X10380"	-0.14	0.0883	-0.0169	-0.1531	-0.1161	0.0149	-0.0532	0.0898
"X10381"	-0.0127	-0.0526	NA	-0.027	0	NA	0.6567	0
"X10382"	-0.0278	NA	-0.0164	-0.0137	0	NA	NA	-0.0435
"X10385"	-0.0526	-0.1321	-0.0323	-0.027	0	NA	0.121	-0.194
"X104"	-0.013	0	NA	-0.0263	0.1361	NA	NA	-0.0541
"X10401"	-0.3625	-0.2984	-0.2536	-0.2	-0.4356	0.2029	-0.4218	-0.1642
"X10404"	-0.0986	-0.0741	-0.0169	0	NA	NA	0	NA
"X10406"	-0.3704	-0.294	-0.1382	-0.2258	-0.4694	-0.2941	-0.0698	0.1049
"X1041"	-0.0127	-0.0526	-0.0508	-0.0541	-0.0423	NA	-0.122	-0.038
"X10411"	-0.1765	-0.3953	-0.2075	0.0323	-0.1594	-0.1579	-0.1634	-0.1233
"X10416"	-0.2459	-0.0526	-0.046	-0.2581	-0.108	-0.0476	-0.0698	-0.1081
"X10418"	-0.0725	-0.0588	0	0	-0.0556	-0.0526	NA	-0.0133
"X10420"	-0.0541	0.1472	-0.0164	-0.0411	-0.0556	0	-0.0698	-0.0606
"X10422"	-0.0448	NA	NA	NA	NA	NA	NA	NA
"X10423"	-0.0462	-0.3149	-0.2	-0.44	-0.3118	-0.2727	-0.104	-0.2541
"X10426"	-0.3455	-0.589	-0.3636	0.0567	-0.2087	-0.0476	-0.1055	-0.0152
"X10427"	-0.2671	-0.6847	-0.2075	-0.1356	-0.2917	-0.4776	-0.8267	-0.476
"X10430"	NA	-0.0213	0	NA	NA	NA	0	-0.0541
"X10436"	-0.4834	-0.1915	-0.1071	-0.3103	-0.1343	-0.1	-0.4839	0.0101
"X10437"	-0.0959	-0.1538	-0.1034	-0.1935	-0.1594	-0.1	-0.1282	0.1892
"X10439"	-0.39	-0.3007	-0.3453	-0.0511	-0.0526	-0.8333	-0.6547	-0.3349
"X10440"	0.2292	0	-0.0492	-0.0588	-0.0746	1	-0.0455	-0.0571
"X10445"	NA	NA	0	NA	-0.0133	-0.1	-0.0476	NA
"X10451"	-0.5319	-0.5263	-0.0169	-0.2391	-0.2391	-0.4776	-0.5081	-0.3605
"X10452"	-0.1117	-0.2	-0.3571	0.0343	-0.1538	0.1538	-0.2022	0.0508
"X10465"	0	NA	NA	-0.1475	NA	NA	-0.1282	-0.1143
"X10467"	0.0091	0.0217	-0.1481	-0.3124	-0.1782	0.0351	-0.1897	-0.1714
"X10470"	-0.3504	-0.45	-0.4384	-0.2312	-0.3052	-0.082	-0.3529	-0.3665
"X10478"	-0.5909	-0.3846	-0.2	-0.129	-0.4074	0.4118	-0.4644	-0.1988
"X10486"	-1	-1	-0.9355	-1	-0.9487	-1	-1	-1
"X10488"	-0.0857	NA	-0.0566	0	NA	NA	-0.0455	-0.0411
"X10496"	NA	0	-0.037	-0.0149	NA	NA	-0.0476	0
"X10498"	-0.3092	-0.3171	-0.1387	-0.2811	-0.0706	0.1071	-0.5277	-0.2258
"X10499"	NA	NA	NA	NA	-0.0127	-0.0476	NA	NA
"X10501"	-0.6	-0.4194	-0.3861	-0.3052	-0.4305	0.5	-0.2407	-0.1642
"X10505"	-0.0625	-0.0612	-0.0164	1	0.4815	-0.0588	-0.122	-0.0286
"X10506"	-0.0667	0	0	-0.0263	-0.0127	NA	-0.0455	-0.0789
"X10511"	-0.2597	-0.2984	0.1267	-0.3268	-0.472	0.0149	-0.1459	-0.3506
"X10521"	-0.3918	-0.0633	-0.1327	-0.1054	-0.0949	-0.6418	0.0129	-0.2044
"X10522"	-0.0667	-0.0714	-0.0323	-0.0556	-0.039	-0.1	-0.0455	-0.0513
"X10525"	-0.5294	-0.335	-0.0733	-0.343	-0.1812	-0.3333	-0.3237	-0.2746
"X1053"	-0.0964	-0.157	-0.1505	-0.2381	-0.3425	-0.2857	-0.5172	-0.3965
"X10530"	NA	0	NA	0	NA	NA	0	-0.0526
"X10533"	-0.1791	-0.0407	0.1643	-0.0827	0.1491	-0.1111	-0.1396	0.2727
"X10535"	0	-0.0169	-0.0667	-0.0541	-0.0685	0	NA	0
"X10536"	-0.5909	-1	-0.3636	-0.6279	-0.44	-1	-1	-1
"X10543"	-0.1429	-0.1538	-0.2308	-0.1878	-0.0929	0.1538	-0.15	-0.1714
"X10544"	-0.6327	-0.6667	-0.2075	-0.5	-0.3818	-0.0476	-0.84	-0.6889
"X10545"	-0.3297	-0.0169	-0.3191	-0.4167	0.0101	0.1538	-0.2941	-0.3017
"X1055"	-0.335	-0.3953	-0.2549	-0.1334	-0.4249	-0.1579	-0.1541	-0.2736
"X10553"	0	NA	0	-0.0541	NA	NA	NA	0
"X10560"	-0.0256	NA	NA	NA	-0.0411	NA	NA	NA
"X10562"	NA	-0.0526	NA	0	NA	NA	NA	NA
"X10567"	-0.3447	-0.1111	-0.1768	-0.242	-0.2258	-0.3846	-0.4839	-0.3777
"X10568"	-0.0411	-0.102	-0.0714	-0.0909	-0.0833	NA	0	-0.0857
"X1057"	-0.1082	-0.0204	-0.3913	-0.1161	-0.1268	-0.2031	-0.3477	-0.2989
"X10570"	-0.0526	-0.1765	NA	-0.0133	NA	NA	0	-0.0513
"X10573"	-0.335	-0.1546	-0.0323	-0.0298	-0.1269	-0.2941	-0.4194	-0.2736
"X10574"	-0.082	-0.0175	-0.069	0	-0.0303	0	-0.0233	0
"X10579"	0	-0.0204	-0.0545	NA	0	0	-0.0476	-0.0411
"X10582"	-0.5538	-0.2081	-0.2955	-0.0986	-0.038	-0.3333	0.0194	-0.1344
"X10586"	-0.3208	-0.1818	-0.3333	0.0558	-0.1613	-0.25	0.0108	-0.2281
"X10588"	-1	-1	-1	-1	-1	-1	-1	-1
"X10590"	-0.9512	-0.875	-0.9394	-0.9024	-1	-0.6923	-0.9167	-0.8636
"X10596"	-0.0411	-0.0175	-0.0169	NA	NA	NA	-0.0476	-0.0263
"X10597"	-0.0746	-0.04	NA	NA	-0.0423	0	-0.0732	-0.0145
"X10598"	-0.0137	-0.0588	0	-0.0435	-0.013	NA	-0.0233	-0.0133
"X106"	-0.25	-0.4286	-0.3023	-0.1992	-0.2903	-0.2031	-0.5949	-0.094
"X10601"	-0.1559	-0.294	0.1705	-0.1351	-0.1449	-0.3333	-0.1115	-0.4677
"X10603"	0	NA	0	-0.0303	-0.0435	NA	-0.0732	0
"X10604"	NA	NA	NA	NA	NA	0	-0.0698	-0.013
"X10606"	NA	NA	NA	-0.013	0	NA	-0.0455	0
"X1061"	NA	NA	NA	NA	NA	NA	-0.122	0
"X10611"	-0.194	-0.0543	-0.2075	-0.2381	-0.2044	-0.2222	-0.2105	-0.1389
"X10614"	-0.2	-0.2	-0.0323	-0.1818	NA	NA	-0.15	-0.1445
"X10616"	-0.2667	-0.098	-0.1852	-0.2063	-0.1343	0.2826	-0.3143	-0.1389
"X10617"	-0.3826	-0.0638	-0.0543	-0.0132	0.0019	-0.1765	-0.0046	-0.2153
"X10620"	-0.1471	-0.3333	-0.1429	-0.2381	-0.1525	-0.1579	-0.15	0.1827
"X10621"	-0.1111	NA	NA	-0.027	NA	NA	NA	-0.0411
"X10623"	-0.0448	-0.0345	NA	NA	-0.0769	0	0	0
"X10624"	-0.0746	-0.0196	0	-0.0882	-0.0137	NA	0	-0.0625
"X10631"	-0.6292	-0.5657	-0.428	-0.1383	-0.2951	0.2029	-0.0794	-0.1336
"X10632"	-0.1966	-0.0247	-0.1736	0.088	-0.2585	0.1538	0.0108	-0.0812
"X10633"	-0.3585	-0.2081	-0.3191	-0.3565	-0.39	-0.2031	-0.5949	-0.2
"X10636"	-0.1985	-0.4037	-0.5205	-0.3099	-0.5263	-0.4286	-0.5862	-0.1986
"X10637"	-0.3965	-0.3539	0.1247	-0.421	-0.1443	-0.2727	-0.4194	-0.3124
"X10644"	-0.1212	-0.1111	-0.0175	-0.0541	-0.0448	NA	-0.0402	-0.0959
"X10645"	-0.04	NA	NA	NA	0.2259	-0.0526	0	NA
"X10646"	-0.3214	-0.3023	-0.4419	-0.4074	-0.2857	0	-0.2571	-0.2727
"X10648"	NA	NA	-0.04	NA	-0.027	0	NA	NA
"X10650"	-0.2847	-0.4659	-0.2727	-0.1935	-0.3333	-0.1579	-0.3333	-0.1782
"X10658"	-0.0492	-0.0612	-0.0357	-0.1077	-0.0556	0	-0.0698	-0.0725
"X10659"	-0.2903	-0.3333	-0.1228	-0.1054	-0.2188	-0.2222	-0.2432	0.0091
"X10665"	-0.0462	-0.037	-0.0196	-0.1148	NA	NA	0	-0.0154
"X10669"	-0.2377	-0.1915	0.1014	-0.1803	-0.1343	-0.1	-0.0402	-0.2308
"X1067"	NA	-0.0169	NA	NA	NA	NA	-0.0698	NA
"X10671"	-0.0435	0	-0.0164	-0.0411	0	NA	0	NA
"X10672"	NA	NA	NA	NA	-0.0811	0	NA	NA
"X10673"	-0.1765	-0.0943	-0.1429	-0.1818	-0.04	0.4359	-0.2432	-0.038
"X10675"	-0.4115	-0.3182	-0.428	-0.1272	-0.136	-0.1	-0.5333	-0.2585
"X10677"	-0.04	0	-0.0545	-0.1304	0	0	-0.0952	-0.04
"X10679"	-0.9048	-0.9355	-1	-0.9487	-0.9487	-1	-0.9167	-0.9524
"X10688"	-0.2571	-0.3382	-0.2371	-0.3585	-0.0812	-0.4286	-0.104	-0.2391
"X10691"	-0.3965	-0.2383	-0.1382	-0.0986	-0.2779	-0.2031	-0.1795	-0.2389
"X10692"	NA	NA	0	NA	-0.0725	NA	NA	NA
"X10695"	-0.1235	-0.2245	-0.2766	-0.1155	-0.1168	-0.375	-0.2571	-0.0317
"X10696"	-0.4444	-0.1538	-0.1923	-0.2667	-0.3559	-0.082	-0.2432	-0.3443
"X10697"	-0.0303	-0.0213	-0.0769	0	-0.0625	-0.1	-0.1	-0.0303
"X10698"	-0.2131	-0.1489	-0.0543	-0.1333	-0.0725	-0.1111	-0.3939	-0.0074
"X10699"	-0.2563	-0.31	-0.1013	-0.1559	-0.1153	-0.1321	-0.4046	-0.3228
"X107"	-0.0667	-0.0345	0	0	NA	NA	-0.0455	-0.025
"X1070"	-0.0833	0	-0.0164	-0.0435	0	0	-0.0455	-0.0256
"X10700"	-0.04	0.2771	-0.0323	NA	-0.1111	-0.1	-0.0698	-0.0123
"X10703"	NA	NA	0	NA	0	0	NA	-0.0513
"X10705"	-0.476	-0.1563	-0.3023	-0.0875	-0.1206	-0.4667	-0.2321	-0.2
"X10708"	-0.7895	-0.7778	-0.6516	-0.75	-0.6588	-0.8182	-0.84	-0.6818
"X10709"	NA	-0.0545	NA	0	NA	NA	NA	-0.0123
"X10711"	-0.1594	0.1549	-0.1429	-0.1143	-0.1429	0	-0.15	-0.1884
"X10712"	-0.1009	-0.2245	0.0336	-0.2581	-0.0811	0	-0.122	0.0398
"X10714"	-0.0133	NA	NA	0	NA	NA	NA	-0.0541
"X10715"	-0.6596	-0.7647	-0.1071	-0.4074	-0.4286	-1	-0.8261	-0.8636
"X10716"	-0.1155	-0.3333	0.1616	-0.0541	-0.0667	-0.1	-0.1	-0.1642
"X10718"	-0.129	-0.0204	-0.1489	-0.0492	0.0567	0.2683	0	0.2241
"X1072"	-0.013	-0.0741	-0.0333	-0.0571	-0.027	0	-0.0222	-0.0513
"X10722"	-0.0127	-0.0169	0	-0.013	-0.0526	NA	NA	-0.0123
"X10723"	-0.0313	NA	-0.0741	-0.1579	-0.1034	0	0	-0.0286
"X10725"	-0.0685	-0.1321	-0.1071	0.0983	-0.0556	0	0.1844	-0.0933
"X10727"	-0.3125	-0.1837	-0.5154	-0.3504	-0.2312	-0.2031	-0.104	-0.2143
"X10731"	0.66	NA	-0.0333	-0.0571	NA	NA	0	0
"X10732"	-0.1143	-0.2245	-0.1228	-0.1642	0.0983	-0.1579	-0.1579	-0.0513
"X10733"	-0.3297	-0.4967	-0.5122	-0.3671	-0.2054	-0.4667	-0.5277	-0.3625
"X10737"	-0.0133	0	-0.0333	-0.0423	-0.0725	NA	NA	NA
"X10741"	0.0023	-0.1591	0.1584	-0.2239	-0.1966	-0.1	-0.2105	-0.0431
"X10742"	-0.1746	-0.1538	-0.1228	-0.1385	-0.0811	0	-0.0455	0.1827
"X10743"	-0.039	-0.0714	-0.1228	-0.1304	-0.0484	-0.375	NA	-0.1233
"X10749"	-0.2063	0.0055	-0.1228	-0.1143	-0.1525	-0.1765	-0.2105	-0.1429
"X1075"	-0.3333	-0.3636	-0.176	-0.4862	0.0184	-0.0476	-0.3529	-0.038
"X10750"	NA	0.6585	0	-0.0556	NA	NA	NA	NA
"X10752"	-0.1471	-0.1272	-0.2083	-0.0879	-0.1235	0.1538	-0.2222	0.3858
"X10754"	-0.4356	-0.3453	-0.4019	-0.1878	-0.2576	0.0149	-0.2873	-0.2195
"X10755"	-0.0526	-0.0741	-0.0164	NA	-0.04	NA	-0.0455	-0.0789
"X10757"	-0.1235	-0.1837	0.0725	-0.2131	-0.0484	-0.2222	-0.2778	-0.1471
"X10758"	-0.8462	-0.6667	-0.5135	-1	-0.6818	-0.8182	-1	-0.7619
"X10759"	-0.3115	-0.1765	-0.1222	-0.1611	-0.1662	0.4359	-0.1634	-0.3443
"X10760"	NA	NA	NA	0	NA	-0.0476	NA	NA
"X10761"	NA	NA	-0.0877	-0.0882	-0.0811	-0.4667	-0.0952	-0.0123
"X10762"	-0.2571	-0.2541	-0.28	-0.1692	-0.2847	0.0351	-0.09	-0.0689
"X10764"	-0.0294	-0.0182	0	0	-0.0141	NA	-0.0476	0
"X10770"	-0.3559	-0.3453	-0.0925	-0.3758	-0.1206	0.5849	-0.4218	-0.3116
"X10775"	-0.0313	0	-0.0182	0.2885	-0.0526	-0.1579	-0.15	-0.1014
"X10776"	-0.1212	-0.098	-0.0667	-0.1562	-0.0317	-0.1579	-0.1795	-0.1143
"X10777"	-1	-1	-1	-0.9024	-1	-1	-1	-1
"X10782"	-0.0294	0	0	-0.0448	0	NA	-0.0455	-0.0606
"X10783"	-0.2107	-0.4775	-0.3208	-0.265	-0.2107	0.0149	-0.6547	-0.6609
"X10784"	-0.0986	-0.0345	-0.1273	-0.1515	-0.1111	-0.1579	-0.0698	-0.1549
"X10786"	-0.451	-0.1818	-0.2	-0.44	-0.3103	-0.1765	-0.5333	-0.2982
"X10789"	0	-0.037	NA	NA	NA	NA	NA	-0.0133
"X10791"	-0.3297	-0.4146	-0.1272	-0.0541	-0.2903	0	-0.0073	-0.1741
"X10794"	-0.2044	-0.1837	-0.2075	-0.3091	0.0972	-0.2031	-0.4644	-0.4444
"X10799"	-0.5366	-0.7333	-0.6333	-0.4408	-0.1765	-0.6923	-0.5714	-0.2736
"X1080"	-0.3118	-0.3426	-0.0633	-0.1155	-0.3333	-0.1	-0.3477	0.0361
"X10804"	-0.3559	-0.1013	-0.1636	-0.04	-0.0541	NA	-0.0952	-0.194
"X10809"	-0.0541	-0.1111	-0.2075	-0.2333	-0.1111	-0.0476	-0.2432	-0.0588
"X10811"	0	NA	-0.0877	-0.0556	0.2276	NA	NA	-0.0256
"X10815"	-0.3115	-0.2766	-0.2917	-0.1429	-0.2698	-0.1	-0.2353	-0.2615
"X10821"	-0.4834	-0.5823	-0.2766	-0.234	0.062	0.3714	-0.1541	-0.0746
"X10822"	NA	-0.0714	NA	NA	NA	NA	0	NA
"X10829"	-0.4621	-0.5385	-0.3023	-0.2581	-0.2853	-0.1324	-0.4014	-0.181
