locus fis fst fit snp_position
10244 -0.210705 0.029053 -0.175530 NA
10251 -0.233558 0.026887 -0.200391 NA
10252 -0.969103 -0.000280 -0.969655 NA
10258 -0.086949 0.027915 -0.056606 NA
1026 -0.054079 0.054489 0.003357 NA
10261 -0.223016 0.006819 -0.214676 NA
10264 -0.007785 0.007678 -0.000047 NA
10266 -0.106258 0.002027 -0.104015 NA
10268 -0.121085 0.039332 -0.076990 NA
10286 -0.143211 0.129120 0.004401 NA
10289 -0.111619 0.024934 -0.083902 NA
10295 -0.193419 -0.003843 -0.198005 NA
10301 -1.000000 0.000000 -1.000000 NA
10302 -0.045057 0.010606 -0.033973 NA
10303 0.085510 -0.012892 0.073721 NA
10307 -0.132191 0.000414 -0.131722 NA
1031 -0.049832 0.013064 -0.036117 NA
10310 -0.032606 0.011583 -0.020645 NA
10312 -0.298777 0.041113 -0.245380 NA
10317 -0.446975 0.002747 -0.443001 NA
10322 -0.239976 0.037257 -0.193778 NA
10323 -0.407108 0.007737 -0.396221 NA
10326 -0.031845 0.015383 -0.015973 NA
1033 -0.086330 0.023132 -0.061201 NA
10330 -0.032822 -0.000413 -0.033249 NA
10333 -0.357874 -0.004563 -0.364071 NA
10338 -0.234283 0.040261 -0.184590 NA
10339 -0.050862 0.023532 -0.026134 NA
1034 -0.037013 0.006998 -0.029756 NA
10343 -0.067159 -0.001565 -0.068829 NA
10346 -0.070340 0.039597 -0.027958 NA
10348 -0.188524 -0.003636 -0.192846 NA
10349 -0.051775 0.022029 -0.028606 NA
10355 -0.058268 0.054196 -0.000914 NA
10356 -0.184850 -0.000782 -0.185776 NA
10357 -0.096582 0.012649 -0.082712 NA
10359 -0.040072 0.004189 -0.035715 NA
10361 -0.387208 0.015485 -0.365728 NA
10365 -0.099792 0.026550 -0.070593 NA
10367 -0.026409 0.001346 -0.025028 NA
10369 -0.035590 0.017582 -0.017382 NA
10370 0.096711 -0.010083 0.087603 NA
10371 -0.047841 0.004418 -0.043212 NA
10376 -0.067379 0.024984 -0.040711 NA
10378 -0.053142 0.028035 -0.023617 NA
10380 -0.039068 0.009441 -0.029258 NA
10381 0.117628 0.004458 0.121561 NA
10382 -0.023743 0.001609 -0.022096 NA
10385 -0.075253 0.044550 -0.027351 NA
104 0.042886 0.026150 0.067915 NA
10401 -0.276846 0.006307 -0.268793 NA
10404 -0.067918 0.037895 -0.027449 NA
10406 -0.238113 0.020240 -0.213054 NA
1041 -0.059329 0.002378 -0.056809 NA
10411 -0.178443 0.026884 -0.146761 NA
10416 -0.150021 0.020146 -0.126854 NA
10418 -0.048102 0.006799 -0.040976 NA
10420 -0.007091 -0.000860 -0.007957 NA
10422 -0.040720 0.038100 -0.001069 NA
10423 -0.225148 -0.004067 -0.230131 NA
10426 -0.240152 0.050571 -0.177436 NA
10427 -0.394804 0.018197 -0.369423 NA
10430 -0.033251 0.018153 -0.014494 NA
10436 -0.219582 0.057569 -0.149373 NA
10437 -0.084577 -0.007567 -0.092784 NA
10439 -0.306424 0.001110 -0.304974 NA
10440 0.069402 -0.009016 0.061012 NA
10445 -0.060120 0.047294 -0.009983 NA
10451 -0.305966 -0.007431 -0.315670 NA
10452 -0.113044 0.019616 -0.091210 NA
10465 -0.113779 0.064287 -0.042177 NA
10467 -0.140644 0.009955 -0.129289 NA
10470 -0.353445 -0.004854 -0.360014 NA
10478 -0.290735 0.100964 -0.160417 NA
10486 -0.984683 0.000005 -0.984674 NA
10488 -0.061404 0.023364 -0.036605 NA
10496 -0.026444 0.009988 -0.016193 NA
10498 -0.244808 0.018512 -0.221764 NA
10499 -0.041401 0.039211 -0.000566 NA
10501 -0.331178 0.000151 -0.330977 NA
10505 0.091607 -0.000005 0.091603 NA
10506 -0.049503 0.006049 -0.043155 NA
10511 -0.247396 -0.005799 -0.254629 NA
10521 -0.190388 0.005914 -0.183347 NA
10522 -0.059022 -0.008927 -0.068475 NA
10525 -0.290957 -0.002851 -0.294638 NA
1053 -0.268463 0.014033 -0.250662 NA
10530 -0.030605 0.018508 -0.011530 NA
10533 0.019526 0.002958 0.022425 NA
10535 -0.049059 0.010292 -0.038261 NA
10536 -0.727239 0.033654 -0.669111 NA
10543 -0.140935 0.016353 -0.122277 NA
10544 -0.566928 0.043735 -0.498399 NA
10545 -0.221338 0.017607 -0.199833 NA
1055 -0.282068 0.004030 -0.276900 NA
10553 -0.030569 0.019017 -0.010970 NA
10560 -0.031622 0.022280 -0.008637 NA
10562 -0.041802 0.037577 -0.002654 NA
10567 -0.264235 -0.004271 -0.269635 NA
10568 -0.085882 0.003798 -0.081758 NA
1057 -0.193483 0.001961 -0.191143 NA
10570 -0.094968 0.052751 -0.037207 NA
10573 -0.193543 0.006925 -0.185278 NA
10574 -0.047867 0.005234 -0.042383 NA
10579 -0.034304 0.002570 -0.031646 NA
10582 -0.200102 0.025682 -0.169281 NA
10586 -0.157303 -0.005872 -0.164099 NA
10588 -1.000000 0.000000 -1.000000 NA
10590 -0.912897 0.000102 -0.912701 NA
10596 -0.032248 0.006797 -0.025231 NA
10597 -0.052822 0.011889 -0.040305 NA
10598 -0.027887 -0.006489 -0.034557 NA
106 -0.280882 -0.004381 -0.286494 NA
10601 -0.183074 0.029164 -0.148571 NA
10603 -0.038859 0.012998 -0.025356 NA
10604 -0.048797 0.038630 -0.008282 NA
10606 -0.023319 0.013104 -0.009910 NA
1061 -0.106702 0.097573 0.001283 NA
10611 -0.183379 -0.002293 -0.186092 NA
10614 -0.166172 0.055255 -0.101735 NA
10616 -0.173619 0.003350 -0.169688 NA
10617 -0.116894 0.006072 -0.110113 NA
10620 -0.161801 0.010762 -0.149297 NA
10621 -0.069774 0.043950 -0.022757 NA
10623 -0.047937 0.017918 -0.029160 NA
10624 -0.059834 0.008058 -0.051295 NA
10631 -0.298243 0.015502 -0.278117 NA
10632 -0.094037 0.000701 -0.093271 NA
10633 -0.330368 -0.006202 -0.338620 NA
10636 -0.350858 0.001816 -0.348405 NA
10637 -0.273928 -0.001212 -0.275471 NA
10644 -0.077395 0.028535 -0.046651 NA
10645 0.089700 0.038298 0.124563 NA
10646 -0.330326 0.010416 -0.316470 NA
10648 -0.030248 0.019609 -0.010046 NA
10650 -0.272126 0.016471 -0.251173 NA
10658 -0.063972 -0.010805 -0.075468 NA
10659 -0.184309 0.001409 -0.182640 NA
10665 -0.060737 0.020728 -0.038749 NA
10669 -0.143211 0.009747 -0.132068 NA
1067 -0.054620 0.048129 -0.003862 NA
10671 -0.026868 0.002668 -0.024128 NA
10672 -0.071553 0.061984 -0.005135 NA
10673 -0.117329 0.019199 -0.095877 NA
10675 -0.297377 0.008440 -0.286428 NA
10677 -0.075523 0.015770 -0.058562 NA
10679 -0.946602 -0.000571 -0.947713 NA
10688 -0.210326 0.014366 -0.192938 NA
10691 -0.228669 0.004348 -0.223327 NA
10692 -0.059205 0.050857 -0.005337 NA
10695 -0.168629 -0.004315 -0.173672 NA
10696 -0.301948 0.021208 -0.274336 NA
10697 -0.063386 0.006067 -0.056934 NA
10698 -0.136858 0.013728 -0.121252 NA
10699 -0.223120 0.008468 -0.212763 NA
107 -0.040938 0.010446 -0.030065 NA
1070 -0.044688 0.000732 -0.043923 NA
10700 -0.007875 0.017932 0.010198 NA
10703 -0.032652 0.021283 -0.010675 NA
10705 -0.234238 0.014446 -0.216408 NA
10708 -0.720279 0.000805 -0.718894 NA
10709 -0.033421 0.024149 -0.008465 NA
10711 -0.114131 -0.007062 -0.121999 NA
10712 -0.107206 0.008678 -0.097598 NA
10714 -0.033538 0.021748 -0.011060 NA
10715 -0.643184 0.062391 -0.540664 NA
10716 -0.113561 0.015629 -0.096157 NA
10718 0.014365 0.016225 0.030357 NA
1072 -0.044443 -0.007854 -0.052646 NA
10722 -0.024050 -0.001455 -0.025539 NA
10723 -0.082937 0.022367 -0.058714 NA
10725 -0.019824 -0.004402 -0.024313 NA
10727 -0.281358 0.012603 -0.265209 NA
10731 0.126938 0.007484 0.133472 NA
10732 -0.112825 0.001776 -0.110849 NA
10733 -0.391270 -0.002382 -0.394584 NA
10737 -0.044030 0.013957 -0.029459 NA
10741 -0.119782 0.035978 -0.079494 NA
10742 -0.084108 -0.001306 -0.085524 NA
10743 -0.120132 0.034721 -0.081239 NA
10749 -0.132591 0.003648 -0.128460 NA
1075 -0.243228 0.031365 -0.204234 NA
10750 0.193185 0.023390 0.212057 NA
10752 -0.040541 -0.007659 -0.048511 NA
10754 -0.286870 0.009089 -0.275173 NA
10755 -0.056881 0.006952 -0.049534 NA
10757 -0.134974 -0.006330 -0.142158 NA
10758 -0.788675 0.005504 -0.778830 NA
10759 -0.193972 0.005564 -0.187329 NA
10760 -0.048178 0.048498 0.002656 NA
10761 -0.152938 0.081549 -0.058917 NA
10762 -0.202232 0.011629 -0.188251 NA
10764 -0.022029 -0.004078 -0.026197 NA
10770 -0.253354 0.004002 -0.248338 NA
10775 -0.030654 0.013805 -0.016426 NA
10776 -0.110037 -0.002886 -0.113240 NA
10777 -0.985154 0.000144 -0.984868 NA
10782 -0.037411 -0.000130 -0.037545 NA
10783 -0.366668 -0.005449 -0.374115 NA
10784 -0.123667 -0.001924 -0.125829 NA
10786 -0.340454 0.017734 -0.316682 NA
10789 -0.021482 0.013144 -0.008056 NA
10791 -0.193333 0.108349 -0.064037 NA
10794 -0.235747 -0.000107 -0.235880 NA
10799 -0.467666 0.014495 -0.446391 NA
1080 -0.204314 0.025093 -0.174095 NA
10804 -0.187185 0.053412 -0.123775 NA
10809 -0.159167 0.018665 -0.137530 NA
10811 0.033844 0.021646 0.054758 NA
10815 -0.253598 -0.006765 -0.262078 NA
10821 -0.192236 -0.004398 -0.197479 NA
10822 -0.060559 0.054872 -0.002364 NA
10829 -0.326428 -0.003063 -0.330490 NA
1083 -0.050219 0.011726 -0.037905 NA
10832 -0.037043 0.012089 -0.024506 NA
10836 -0.084106 0.057595 -0.021667 NA
10842 0.080844 0.010145 0.090169 NA
10843 -0.040043 0.037761 -0.000769 NA
10844 -0.101879 0.013114 -0.087429 NA
10845 -0.569991 0.022744 -0.534283 NA
10846 -0.013194 0.028788 0.015974 NA
10848 -0.182789 0.013748 -0.166528 NA
10857 -0.166844 0.008374 -0.157072 NA
10863 -0.086297 0.005172 -0.080678 NA
10865 -0.263855 0.028004 -0.228462 NA
10866 -0.066052 0.023583 -0.040912 NA
10869 -0.150340 0.015648 -0.132339 NA
1087 -1.000000 0.000000 -1.000000 NA
10871 -0.932938 0.008059 -0.917360 NA
10873 -0.239505 -0.003906 -0.244347 NA
10876 -0.082538 0.053785 -0.024314 NA
10878 -0.070413 0.017010 -0.052205 NA
1088 -0.061963 0.013677 -0.047439 NA
10883 -0.034007 0.000531 -0.033458 NA
10884 0.131551 0.001413 0.132778 NA
10886 -0.176783 -0.011546 -0.190370 NA
10888 -0.055091 0.024191 -0.029567 NA
10890 -0.649846 -0.002967 -0.654741 NA
10891 0.138755 0.036081 0.169829 NA
10898 -0.334439 0.011297 -0.319364 NA
10899 -0.157594 0.022131 -0.131976 NA
1090 -0.389302 0.023437 -0.356741 NA
10901 -0.041991 0.020581 -0.020546 NA
10902 -0.054344 0.006169 -0.047840 NA
10904 -0.186952 -0.004124 -0.191846 NA
10911 -0.090024 0.002111 -0.087723 NA
10914 -0.153083 0.018268 -0.132019 NA
10919 -0.669710 0.000636 -0.668649 NA
10923 -0.186614 0.008242 -0.176834 NA
10925 -0.263538 0.005455 -0.256646 NA
10928 -0.009918 0.021062 0.011352 NA
10929 -1.000000 0.000000 -1.000000 NA
10934 0.210439 0.041308 0.243054 NA
10935 -0.037594 0.003896 -0.033552 NA
10938 -0.073065 0.016815 -0.055022 NA
1094 -0.154947 -0.009147 -0.165512 NA
10940 0.056965 -0.012073 0.045580 NA
10943 -0.040902 0.012133 -0.028273 NA
10945 -0.088989 0.014860 -0.072807 NA
10946 -0.063070 0.001907 -0.061042 NA
10948 -0.028807 0.019221 -0.009032 NA
10949 -0.037053 -0.002721 -0.039875 NA
1095 -0.065525 0.020842 -0.043317 NA
10950 -0.202231 -0.006754 -0.210351 NA
10951 0.023440 0.024160 0.047034 NA
10953 0.027181 -0.008170 0.019234 NA
10954 -0.177901 0.025986 -0.147293 NA
10958 -0.141049 0.009393 -0.130331 NA
10962 -0.127695 0.124569 0.012781 NA
10964 -0.218813 0.008109 -0.208930 NA
10969 -0.025816 0.005008 -0.020679 NA
10973 -0.018771 0.000666 -0.018093 NA
10974 -0.033453 0.003099 -0.030251 NA
10976 -0.088464 0.064212 -0.018572 NA
10977 -0.187251 -0.001200 -0.188676 NA
10979 -0.183067 -0.002146 -0.185607 NA
10980 -0.242586 0.044438 -0.187367 NA
10982 -0.041505 0.030335 -0.009911 NA
10988 -0.118615 0.013470 -0.103547 NA
10989 -0.209368 -0.004825 -0.215203 NA
10991 -0.310339 0.029710 -0.271408 NA
10992 -0.045770 0.022358 -0.022389 NA
10993 -0.063482 0.002984 -0.060308 NA
10998 -0.078589 0.064190 -0.009355 NA
10999 -0.079718 0.112900 0.042182 NA
1100 -0.351012 0.004830 -0.344486 NA
11000 -0.083543 -0.000734 -0.084339 NA
11002 0.032884 -0.008134 0.025017 NA
11003 -0.121953 0.080324 -0.031834 NA
11006 -0.398307 0.017061 -0.374451 NA
11007 -0.111709 0.012529 -0.097780 NA
11010 -0.097420 0.062476 -0.028857 NA
11012 -0.026610 0.008028 -0.018368 NA
11014 -0.323661 0.027735 -0.286949 NA
11017 -0.071073 0.009085 -0.061343 NA
11018 -0.185679 -0.004128 -0.190574 NA
11022 -0.030874 0.021321 -0.008895 NA
11024 -0.067945 0.032268 -0.033484 NA
1103 -0.028322 0.014964 -0.012935 NA
11030 -0.026982 0.023898 -0.002440 NA
11032 -0.026150 0.014144 -0.011636 NA
11033 -0.061706 0.092221 0.036206 NA
11035 -0.133731 0.007065 -0.125722 NA
11037 -0.076124 0.018751 -0.055945 NA
1104 -0.006806 0.017844 0.011160 NA
11043 -0.307200 0.020366 -0.280579 NA
11046 -0.709335 0.037425 -0.645363 NA
1105 -0.660201 0.010926 -0.642062 NA
11052 -0.067789 0.032601 -0.032978 NA
11055 -0.224920 0.008737 -0.214218 NA
11057 -0.014139 0.038953 0.025364 NA
11061 0.082867 0.009045 0.091163 NA
11065 -0.131201 0.042003 -0.083687 NA
11066 -0.031715 0.022186 -0.008826 NA
11068 -0.220718 0.005644 -0.213828 NA
1107 -0.296436 0.025993 -0.262738 NA
11070 -0.033735 0.016172 -0.017017 NA
11072 -0.031355 0.008945 -0.022129 NA
11079 -0.149586 0.091545 -0.044347 NA
1108 -0.073851 0.020197 -0.052163 NA
11080 -0.066030 0.029108 -0.035000 NA
11082 -0.131289 0.000608 -0.130600 NA
11088 -0.088424 0.001427 -0.086871 NA
11090 -0.234158 0.004521 -0.228578 NA
11091 -0.048008 0.042036 -0.003954 NA
11096 -0.038689 0.000511 -0.038159 NA
11098 -0.096998 0.027830 -0.066469 NA
11099 0.011052 0.014900 0.025787 NA
11100 -0.030357 0.016657 -0.013195 NA
11101 -0.045669 0.012003 -0.033118 NA
11102 -0.029422 0.042877 0.014717 NA
11106 -0.039077 0.013001 -0.025568 NA
1111 -0.046314 0.009399 -0.036480 NA
11111 -0.042811 0.038473 -0.002691 NA
11112 -0.222279 0.026201 -0.190254 NA
11116 -0.307497 -0.005278 -0.314398 NA
11117 -0.045731 0.004389 -0.041141 NA
11118 0.024179 0.009375 0.033327 NA
11119 -0.310720 0.002403 -0.307570 NA
11121 -0.293377 0.002216 -0.290510 NA
11122 -0.060116 0.036283 -0.021651 NA
11123 -0.216239 0.005588 -0.209443 NA
11124 -0.186103 0.006949 -0.177861 NA
11127 -0.325186 0.011577 -0.309845 NA
11129 -0.393655 0.003290 -0.389070 NA
1113 -0.033894 0.013385 -0.020055 NA
11132 -0.048063 0.048378 0.002640 NA
11134 -0.033560 0.029311 -0.003266 NA
11136 -0.228727 0.035220 -0.185451 NA
11141 -0.378342 -0.001720 -0.380712 NA
11144 -0.054321 0.017481 -0.035889 NA
11148 -0.673875 0.084210 -0.532918 NA
1115 -0.120679 0.050068 -0.064569 NA
11152 0.116347 0.005894 0.121555 NA
11155 -0.156510 0.018492 -0.135124 NA
11157 -0.022411 -0.000427 -0.022848 NA
1116 -0.033853 0.026762 -0.006185 NA
11160 -0.098296 0.081517 -0.008766 NA
11165 0.106142 0.013077 0.117831 NA
11168 -0.021705 0.004771 -0.016831 NA
11171 -0.093733 0.045724 -0.043723 NA
11175 -0.266829 0.011882 -0.251777 NA
11179 -0.000909 0.008432 0.007531 NA
1118 -0.035087 0.010284 -0.024443 NA
11180 -0.053702 0.010759 -0.042365 NA
11191 -0.046291 -0.003776 -0.050242 NA
11193 -0.106729 0.014800 -0.090350 NA
1120 -0.028243 0.013910 -0.013941 NA
11202 -0.029047 0.033110 0.005025 NA
11203 -0.035937 0.010376 -0.025189 NA
11205 -0.166489 0.008535 -0.156534 NA
11207 0.030073 0.005962 0.035856 NA
11210 -0.224490 0.015032 -0.206083 NA
11211 -0.069931 0.049474 -0.016998 NA
11212 0.160802 0.017263 0.175289 NA
11213 -0.442888 0.022218 -0.410829 NA
11216 -0.041521 0.039387 -0.000498 NA
11217 -0.025171 0.014848 -0.009949 NA
1122 -0.126696 -0.002990 -0.130065 NA
11224 -0.283554 0.178674 -0.054216 NA
11227 -0.048097 0.041594 -0.004502 NA
11237 -0.095992 -0.002241 -0.098448 NA
11238 -0.063864 -0.001146 -0.065083 NA
1124 -0.067890 0.013087 -0.053915 NA
11245 -0.049566 0.003814 -0.045563 NA
11246 -0.075849 -0.008228 -0.084702 NA
11247 -0.052551 0.048538 -0.001462 NA
11248 -0.027852 0.020067 -0.007226 NA
11253 0.017773 0.033760 0.050932 NA
11258 -0.050775 0.012434 -0.037709 NA
1126 -0.187552 0.002783 -0.184246 NA
11261 -0.080603 0.011754 -0.067902 NA
11264 -0.036389 0.027391 -0.008002 NA
11274 0.216821 0.002690 0.218928 NA
11275 -0.059860 0.035006 -0.022758 NA
11276 -0.056651 0.033917 -0.020813 NA
11281 -0.100197 0.011332 -0.087730 NA
11289 -0.032719 0.021356 -0.010665 NA
11291 -0.178137 0.013252 -0.162524 NA
11296 -0.019337 0.010339 -0.008797 NA
11299 0.108524 0.014560 0.121504 NA
113 0.006141 0.004707 0.010819 NA
11302 -0.318354 0.024500 -0.286054 NA
11303 -0.077713 0.017768 -0.058563 NA
11305 -0.079823 0.057352 -0.017894 NA
11316 -0.037992 0.029224 -0.007657 NA
1132 0.079372 0.011497 0.089956 NA
11325 -0.064412 0.027749 -0.034876 NA
11328 -0.122600 0.045970 -0.070994 NA
11329 -0.180181 0.005911 -0.173205 NA
11330 0.039674 0.015756 0.054805 NA
11333 -0.149943 0.008485 -0.140186 NA
11335 -0.060649 -0.002989 -0.063819 NA
11348 -0.038711 0.004844 -0.033680 NA
11350 -0.042534 0.018751 -0.022985 NA
11351 -0.168721 0.024133 -0.140516 NA
11353 -0.984716 -0.000010 -0.984735 NA
11354 -0.087930 0.049946 -0.033592 NA
1137 -0.046932 0.035543 -0.009721 NA
11372 -0.036079 0.004959 -0.030941 NA
11375 -0.029637 0.001745 -0.027840 NA
11377 -0.003244 -0.001899 -0.005149 NA
11378 -0.097568 0.018494 -0.077270 NA
11382 0.014332 -0.003856 0.010532 NA
11383 -0.031723 0.022451 -0.008560 NA
1139 -1.000000 0.000000 -1.000000 NA
11393 -0.126904 0.000273 -0.126597 NA
11398 -0.192256 0.052129 -0.130105 NA
114 -0.033053 0.001738 -0.031258 NA
11404 -0.040793 -0.002977 -0.043892 NA
11405 -0.054555 0.011906 -0.041999 NA
11407 -0.051701 0.015568 -0.035328 NA
11408 -0.374082 -0.005378 -0.381471 NA
1141 -0.261276 -0.005473 -0.268179 NA
11411 -0.048737 0.013497 -0.034583 NA
11412 -0.046025 0.010233 -0.035321 NA
11416 0.080225 -0.004289 0.076281 NA
11419 0.018059 0.044987 0.062234 NA
1142 -0.321380 0.012405 -0.304989 NA
11424 -0.050542 0.026532 -0.022669 NA
11425 -0.062471 0.029861 -0.030745 NA
11428 -0.096066 0.009594 -0.085550 NA
11432 -0.030426 0.016092 -0.013844 NA
11433 -0.082431 0.018207 -0.062723 NA
11434 -0.070126 0.034863 -0.032818 NA
11441 -0.037996 0.011456 -0.026105 NA
11447 0.114421 0.043782 0.153194 NA
11449 -0.030888 0.014974 -0.015452 NA
11453 -0.076204 0.013756 -0.061399 NA
11456 -0.067652 0.027874 -0.037892 NA
11457 -0.038869 0.023673 -0.014276 NA
11458 -0.038329 0.031780 -0.005331 NA
11461 -0.213136 0.013732 -0.196477 NA
11463 -0.087686 0.010718 -0.076028 NA
11464 -0.032495 0.027531 -0.004069 NA
11471 -0.048086 0.015394 -0.031952 NA
11472 -0.068281 0.021845 -0.044945 NA
11478 -0.050250 0.019990 -0.029255 NA
11479 -0.134808 0.031140 -0.099470 NA
11481 -0.062956 0.027397 -0.033834 NA
11483 -0.217225 0.001453 -0.215456 NA
11489 -0.021476 0.001755 -0.019683 NA
11491 -0.160062 -0.005673 -0.166643 NA
11493 -0.295876 0.000712 -0.294953 NA
11498 -0.038212 0.018675 -0.018823 NA
11503 -0.039758 0.030418 -0.008130 NA
11506 -0.038305 0.011797 -0.026056 NA
11507 -0.054960 0.036556 -0.016395 NA
11508 -0.021723 0.013799 -0.007623 NA
11520 -0.141149 0.013294 -0.125978 NA
11533 -0.110544 0.006167 -0.103695 NA
11534 -0.030811 0.000568 -0.030225 NA
11537 -0.022420 0.005496 -0.016801 NA
1154 -0.011971 0.039234 0.027732 NA
11544 -0.395715 -0.003867 -0.401112 NA
11546 -0.031096 0.021813 -0.008605 NA
11550 -0.175092 0.010545 -0.162701 NA
11551 -0.036181 0.014692 -0.020957 NA
11557 -0.072506 -0.011011 -0.084315 NA
11563 -0.082772 -0.004276 -0.087401 NA
11565 -0.028261 -0.003911 -0.032283 NA
11566 -0.085536 0.051402 -0.029738 NA
11568 -0.031080 0.004147 -0.026803 NA
1157 -0.371032 0.026038 -0.335333 NA
11570 -0.048702 0.038466 -0.008363 NA
11571 -0.033643 0.014956 -0.018184 NA
1158 -0.072455 -0.004801 -0.077604 NA
11580 -0.049600 0.045802 -0.001526 NA
11582 -0.056043 0.015576 -0.039594 NA
11584 -0.120628 0.009138 -0.110387 NA
1159 -0.027298 0.016016 -0.010845 NA
11591 -0.063719 0.032596 -0.029046 NA
11593 -0.023244 0.002124 -0.021071 NA
11595 -0.035582 0.002192 -0.033312 NA
1160 -0.128750 0.010681 -0.116694 NA
11601 -0.038705 0.011860 -0.026386 NA
11605 -0.058563 0.040062 -0.016155 NA
11606 -0.063652 -0.001220 -0.064950 NA
11607 -0.000533 0.001353 0.000821 NA
11609 -0.307584 0.003738 -0.302696 NA
1161 -0.052509 0.046600 -0.003461 NA
11613 -0.060575 0.037436 -0.020870 NA
11621 -0.075571 0.078151 0.008485 NA
11622 -0.059695 0.010080 -0.049013 NA
11623 -0.097498 -0.003749 -0.101613 NA
11625 -0.020484 0.000546 -0.019926 NA
11626 -0.082257 0.041463 -0.037384 NA
11627 -0.036185 0.005215 -0.030781 NA
11629 -0.234641 -0.002639 -0.237899 NA
11630 -0.074080 -0.004915 -0.079359 NA
11636 0.094792 0.009543 0.103430 NA
11638 0.003887 0.005411 0.009277 NA
11639 -0.060027 0.014722 -0.044422 NA
11640 -0.058979 0.018224 -0.039680 NA
11643 0.031341 0.020163 0.050872 NA
11644 -0.106322 0.007269 -0.098280 NA
